state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Haryana,Punjab,-0.05845210734220166,3075499.0,0.0,0.0,True
Jammu and Kashmir,Jharkhand,0.058291545547604615,9839747.5,0.0,0.0,True
Maharashtra,Nagaland,0.0580871366096794,10461326.0,0.0,0.0,True
Maharashtra,West Bengal,0.05788874693374327,16222005.0,0.0,0.0,True
Arunachal Pradesh,Himachal Pradesh,0.0570409982174688,9816915.0,0.0,0.0,True
Jammu and Kashmir,Tamil Nadu,0.056939651579089895,12403160.0,0.0,0.0,True
Punjab,Tripura,0.05691807090883637,11720421.5,0.0,0.0,True
Haryana,Maharashtra,-0.056857892763404555,2025293.0,0.0,0.0,True
Chhattisgarh,Jammu and Kashmir,-0.05670899684203454,3005476.0,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Punjab,-0.055595275505378156,1207725.5,1.4902727724532589e-235,3.358758710642762e-235,True
Maharashtra,Tripura,0.055323856330039264,12515838.5,0.0,0.0,True
Andaman and Nicobar Islands,Ladakh,0.055200675685512485,1098510.5,1.0799176687597583e-88,1.622603567959738e-88,True
Karnataka,Punjab,-0.05511529816597642,3839732.5,0.0,0.0,True
Punjab,Uttarakhand,0.05497720386729818,12910553.0,0.0,0.0,True
Ladakh,Odisha,-0.05432504161381399,595360.5,1.3880950998571317e-81,2.034277301514762e-81,True
Dadra and Nagar Haveli and Daman and Diu,Maharashtra,-0.05400106092658105,836477.5,0.0,0.0,True
Gujarat,Ladakh,0.05390598977380821,1802006.5,2.392917914717411e-95,3.6507337416842557e-95,True
Chandigarh,Kerala,-0.053801381316951835,4400587.0,1.9972447506259606e-137,3.4951783135954313e-137,True
Kerala,Madhya Pradesh,0.053801381316951835,9756464.5,3.4009844199378116e-125,5.716343869669485e-125,True
Punjab,Rajasthan,0.05369657527402891,14255462.5,0.0,0.0,True
Goa,Maharashtra,0.05360007032613748,9309227.0,4.740264302988311e-188,9.464621678785386e-188,True
Karnataka,Maharashtra,-0.053521083587179316,3073058.5,0.0,0.0,True
Bihar,Kerala,-0.053487116548413524,4729044.0,1.0670632759335374e-123,1.7784387932225623e-123,True
